Index_Close,Oil_Close
70,108.64
70.720001,108.48
70.779999,107.51
71.519997,108.1
72.019997,109.32
72.059998,108.54
72.150002,106.91
72.019997,108.27
73.089996,106.41
73.400002,106.51
72.760002,106.66
71.440002,107.1
71.720001,108.51
71.43,108.46
71.660004,108.76
71.720001,109.66
72.459999,107.82
72.620003,105.09
72.529999,103.98
72.050003,103.16
72.18,104.08
69.639999,104.8
69.389999,103.62
70.07,100.58
70.07,99.32
71.389999,97.88
72.510002,96.84
72.529999,97.48
70.82,98.94
67.760002,99.07
68.349998,99.25
66.989998,100.71
67.790001,101.62
67.459999,102.39
68.120003,102.88
68.57,101.53
70,98.34
70.199997,100.32
69.18,104.6
70.669998,105
70.669998,105.18
70.029999,103.79
70.690002,103.59
72.050003,101.31
72.610001,102.17
73.139999,102.7
73.190002,101.57
73.190002,104.27
72.879997,103.83
72.75,104.55
73.940002,103.1
73.800003,102.14
73.410004,100.46
74.580002,101.24
76.470001,103.77
76.400002,102.14
74.959999,101.79
74.279999,100.43
74.510002,101.63
75.330002,102.04
75.260002,103.51
75.449997,103.37
73.709999,104.07
73.800003,103.87
73.169998,101.5
72.860001,103.11
72.949997,103.38
74.129997,105.1
73.989998,105.8
72.519997,105.21
72.150002,105.56
73.059998,102.72
72.599998,100.36
73.790001,99.8
74.5,101.51
74.269997,100.62
71.050003,102.74
71.110001,102.49
70.68,103.19
70.989998,103.96
71.410004,106.12
71.519997,107.46
71.120003,107.75
71.800003,107.9
71.779999,108.43
71.150002,108.18
72.32,109.03
73.120003,109.05
73.690002,109.29
73.589996,109.67
74,109.71
73.860001,109.34
74.25,108.82
73.519997,109.27
74.080002,108.23
75.18,108.1
75.529999,107.57
75.800003,108.1
75.639999,107.47
74.410004,107.89
74.980003,109.94
74.760002,109.63
74.050003,109.81
74.050003,108.77
74.82,108.39
76.080002,107.32
75.730003,108.49
75.860001,109.28
75.139999,110.69
74.75,110.26
75.489998,111.58
75.510002,111.82
75.25,111.41
75.139999,110.74
74.849998,110.82
74.379997,110.51
74.18,112.12
73.489998,112.23
73.660004,115.21
73.190002,116.27
74.610001,116.91
74.910004,115.97
75.300003,115.49
74.07,115.65
74.949997,115.81
74.230003,117.15
74.059998,115.2
74.779999,112.1
75.139999,112.37
75.139999,113.11
75.860001,113.31
76.440002,110.86
76.589996,109.05
77.019997,109.09
76.889999,110.66
76.480003,110.22
76.980003,108.56
76.889999,107.68
77.870003,109.46
78.190002,108.86
76.5,109.45
76.290001,107.85
76.779999,107.32
76.529999,109.09
76.650002,109.49
76.290001,109.42
75.849998,109.66
76.440002,110.56
76.68,109.02
76.389999,111.63
77.199997,110.65
76.599998,110.13
75.529999,110.67
75.589996,110.79
76.989998,109.55
77.800003,109.4
78.300003,109.47
78.349998,109.57
79.239998,107.74
79.779999,106.63
80.330002,105.7
80.489998,108.29
81.269997,108.04
79.559998,108.41
79.690002,107.53
80.290001,105.78
80.599998,104.85
81.040001,105.01
80.540001,105.46
80.019997,103.08
79.879997,104.29
80.800003,105.76
79.82,106.29
79.419998,106.9
77.919998,108.29
79.550003,108.25
79.800003,108.8
79.480003,108.29
79.339996,108.27
80.059998,109.9
80.510002,111.36
79.389999,110.83
79.669998,112.04
80.160004,111.32
80.529999,111.07
80.849998,111.49
79.93,113.06
79.989998,113.27
79.400002,112.07
79.330002,111.5
80.150002,110.07
79.599998,108.91
79.129997,109.47
79.18,108.99
78.870003,108.08
78.93,110.3
78.900002,108.91
77.419998,109.56
77.949997,110.78
77.889999,112.15
78.470001,111.58
78.199997,111.57
78.370003,111.65
78.980003,112.06
78.910004,110.47
79.129997,109.95
79.620003,107.94
79.910004,106.57
80.459999,106.71
80,107.01
80.779999,107.42
79.610001,107.49
79.389999,106.44
79.32,108.02
79.610001,107.12
79.230003,108.09
78.940002,107.46
79.199997,108.45
77.5,108.01
78.330002,109.17
78.529999,109.69
78.769997,109.69
78.360001,109.14
